SegmentID,X1,Y1,X2,Y2,X3,Y3,MinSpeed1,MaxSpeed1,MinSpeed2,MaxSpeed2,MinSpeed3,MaxSpeed3
784,0,0,0,0,109.075685204,12.2123689516,0,0,0,0,0,70
784,109.075473442,12.2119956253,0,0,0,0,0,70,0,0,0,0
785,0,0,109.075220067,12.2115428892,0,0,0,0,0,70,0,0
785,0,0,0,0,109.075345547,12.2117699292,0,0,0,0,0,70
785,109.075220067,12.2115428892,0,0,0,0,0,70,0,0,0,0
786,0,0,109.075163692,12.21143978,0,0,0,0,0,70,0,0
786,0,0,0,0,109.07519188,12.2114913346,0,0,0,0,0,70
786,109.075163692,12.21143978,0,0,0,0,0,70,0,0,0,0
787,0,0,109.074930814,12.2110138485,0,0,0,0,0,70,0,0
787,0,0,0,0,109.075047253,12.2112268142,0,0,0,0,0,70
787,109.074930814,12.2110138485,0,0,0,0,0,70,0,0,0,0
768,0,0,109.074687214,12.2105737177,0,0,0,0,0,70,0,0
788,0,0,0,0,109.074810144,12.210793146,0,0,0,0,0,70
768,109.074758033,12.2105381765,0,0,0,0,0,70,0,0,0,0
780,0,0,109.077541867,12.2149983588,0,0,0,0,0,70,0,0
789,0,0,0,0,109.076040885,12.2128371242,0,0,0,0,0,70
781,109.077599532,12.2150774672,0,0,0,0,0,70,0,0,0,0
779,0,0,109.077639701,12.2151325749,0,0,0,0,0,70,0,0
790,0,0,0,0,109.077619616,12.215105021,0,0,0,0,0,70
780,109.077541867,12.2149983588,0,0,0,0,0,70,0,0,0,0
781,0,0,109.077599532,12.2150774672,0,0,0,0,0,70,0,0
791,0,0,0,0,109.0775707,12.215037913,0,0,0,0,0,70
779,109.077575066,12.2151779783,0,0,0,0,0,70,0,0,0,0
781,0,0,109.07753735,12.215125139,0,0,0,0,0,70,0,0
792,0,0,0,0,109.077556208,12.2151515587,0,0,0,0,0,70
781,109.07753735,12.215125139,0,0,0,0,0,70,0,0,0,0
